date,BOVA11.SA,IVVB11.SA,IMAB11.SA,USDBRL=X,CDI
2015-01-01,101.511306,124.926288,135.720027,3.915465,10.0
2015-01-02,101.609082,124.989097,135.74754,3.916355,10.00035
2015-01-05,101.702722,125.048808,135.77502,3.917199,10.0007
2015-01-06,101.792219,125.105421,135.802467,3.917995,10.00105
2015-01-07,101.877581,125.158942,135.82988,3.918745,10.0014
2015-01-08,101.958825,125.209381,135.857258,3.919448,10.00175
2015-01-09,102.035984,125.256755,135.884601,3.920105,10.0021
2015-01-12,102.109099,125.301086,135.911908,3.920715,10.00245
2015-01-13,102.178224,125.342401,135.939177,3.921279,10.0028
2015-01-14,102.243428,125.380734,135.966408,3.921798,10.00315
2015-01-15,102.304786,125.416122,135.9936,3.92227,10.003501
2015-01-16,102.362387,125.448609,136.020752,3.922697,10.003851
2015-01-19,102.416332,125.478244,136.047863,3.92308,10.004201
2015-01-20,102.466729,125.505081,136.074933,3.923417,10.004551
2015-01-21,102.513701,125.529177,136.10196,3.923711,10.004901
2015-01-22,102.557375,125.550597,136.128944,3.923961,10.005251
2015-01-23,102.597892,125.569409,136.155883,3.924168,10.005602
2015-01-26,102.6354,125.585685,136.182778,3.924333,10.005952
2015-01-27,102.670055,125.599503,136.209627,3.924456,10.006302
2015-01-28,102.702022,125.610942,136.236429,3.924537,10.006652
2015-01-29,102.731472,125.62009,136.263183,3.924578,10.007002
2015-01-30,102.758584,125.627033,136.28989,3.92458,10.007353
2015-02-02,102.783544,125.631867,136.316547,3.924542,10.007703
2015-02-03,102.80654,125.634685,136.343153,3.924467,10.008053
2015-02-04,102.82777,125.635589,136.369709,3.924354,10.008404
2015-02-05,102.847432,125.634679,136.396214,3.924205,10.008754
2015-02-06,102.865732,125.632062,136.422666,3.92402,10.009104
2015-02-09,102.882876,125.627845,136.449064,3.923801,10.009454
2015-02-10,102.899073,125.622139,136.475408,3.923548,10.009805
2015-02-11,102.914536,125.615055,136.501697,3.923263,10.010155
2015-02-12,102.929477,125.606708,136.527931,3.922946,10.010506
2015-02-13,102.944111,125.597214,136.554107,3.922599,10.010856
2015-02-16,102.95865,125.58669,136.580227,3.922222,10.011206
2015-02-17,102.973309,125.575256,136.606288,3.921817,10.011557
2015-02-18,102.9883,125.563029,136.63229,3.921385,10.011907
2015-02-19,103.003832,125.550132,136.658232,3.920927,10.012258
2015-02-20,103.020115,125.536684,136.684113,3.920444,10.012608
2015-02-23,103.037352,125.522806,136.709933,3.919938,10.012958
2015-02-24,103.055745,125.50862,136.73569,3.919409,10.013309
2015-02-25,103.075491,125.494247,136.761385,3.918859,10.013659
2015-02-26,103.096784,125.479807,136.787015,3.918288,10.01401
2015-02-27,103.11981,125.465419,136.812581,3.917699,10.01436
2015-03-02,103.144751,125.451203,136.838082,3.917093,10.014711
2015-03-03,103.171783,125.437276,136.863516,3.91647,10.015061
2015-03-04,103.201074,125.423754,136.888884,3.915832,10.015412
2015-03-05,103.232786,125.410752,136.914183,3.915181,10.015762
2015-03-06,103.267073,125.398383,136.939414,3.914516,10.016113
2015-03-09,103.30408,125.386758,136.964576,3.913841,10.016464
2015-03-10,103.343945,125.375984,136.989667,3.913156,10.016814
2015-03-11,103.386797,125.36617,137.014688,3.912462,10.017165
2015-03-12,103.432754,125.357417,137.039637,3.91176,10.017515
2015-03-13,103.481928,125.349827,137.064514,3.911052,10.017866
2015-03-16,103.534417,125.343498,137.089318,3.91034,10.018217
2015-03-17,103.590312,125.338524,137.114048,3.909623,10.018567
2015-03-18,103.649692,125.334995,137.138703,3.908904,10.018918
2015-03-19,103.712627,125.333001,137.163283,3.908184,10.019269
2015-03-20,103.779174,125.332624,137.187787,3.907464,10.019619
2015-03-23,103.849381,125.333946,137.212214,3.906745,10.01997
2015-03-24,103.923283,125.337041,137.236564,3.906028,10.020321
2015-03-25,104.000906,125.341983,137.260835,3.905315,10.020671
2015-03-26,104.082262,125.348839,137.285028,3.904606,10.021022
2015-03-27,104.167354,125.357672,137.30914,3.903904,10.021373
2015-03-30,104.256173,125.368542,137.333173,3.903208,10.021724
2015-03-31,104.348695,125.381503,137.357124,3.90252,10.022074
2015-04-01,104.44489,125.396604,137.380993,3.901841,10.022425
2015-04-02,104.544713,125.41389,137.40478,3.901172,10.022776
2015-04-03,104.648107,125.433402,137.428483,3.900514,10.023127
2015-04-06,104.755007,125.455175,137.452103,3.899868,10.023478
2015-04-07,104.865333,125.479238,137.475638,3.899236,10.023828
2015-04-08,104.978996,125.505618,137.499088,3.898617,10.024179
2015-04-09,105.095896,125.534333,137.522452,3.898013,10.02453
2015-04-10,105.215921,125.565398,137.545729,3.897425,10.024881
2015-04-13,105.33895,125.598824,137.568919,3.896853,10.025232
2015-04-14,105.46485,125.634615,137.59202,3.896299,10.025583
2015-04-15,105.59348,125.67277,137.615034,3.895762,10.025934
2015-04-16,105.724687,125.713283,137.637958,3.895245,10.026284
2015-04-17,105.858311,125.756143,137.660791,3.894747,10.026635
2015-04-20,105.994181,125.801333,137.683535,3.894269,10.026986
2015-04-21,106.132119,125.848833,137.706187,3.893813,10.027337
2015-04-22,106.271937,125.898614,137.728747,3.893377,10.027688
2015-04-23,106.413441,125.950646,137.751215,3.892964,10.028039
2015-04-24,106.556428,126.004892,137.773589,3.892573,10.02839
2015-04-27,106.70069,126.06131,137.79587,3.892205,10.028741
